Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 0.000000   | 0.000000  | 0.000000  | 119.00 | 0.0000 | 2.000000 | NO          | 0.781742  | 
2     | 1        | 0.000000   | -129.1517 | 119.00000 | 119.00 | 0.0007 | 2.000000 | NO          | 0.785743  | 
3     | 0        | 3.288899   | 3.288899  | 0.000000  | 119.00 | 0.0003 | 2.000000 | NO          | 0.793327  | 
4     | 1        | 3.288899   | -1146.446 | 119.00000 | 119.00 | 0.0012 | 2.000000 | NO          | 0.798385  | 
5     | 2        | 3.288899   | -2.096586 | 0.000000  | 119.00 | 0.0013 | 2.000000 | NO          | 0.805775  | 
6     | 3        | 3.288899   | -541.5172 | 119.00000 | 119.00 | 0.0005 | 2.000000 | NO          | 0.810035  | 
7     | 4        | 3.288899   | -2.509048 | 0.000000  | 119.00 | 0.0006 | 2.000000 | NO          | 0.817747  | 
8     | 5        | 3.288899   | -510.5196 | 119.00000 | 119.00 | 0.0004 | 2.000000 | NO          | 0.821668  | 
9     | 6        | 3.288899   | -2.812958 | 0.000000  | 119.00 | 0.0006 | 2.000000 | NO          | 0.827912  | 
10    | 7        | 3.288899   | -431.9422 | 119.00000 | 119.00 | 0.0003 | 2.000000 | NO          | 0.831596  | 
11    | 8        | 3.288899   | -3.087960 | 0.000000  | 119.00 | 0.0005 | 2.000000 | NO          | 0.838624  | 
12    | 9        | 3.288899   | -472.3352 | 119.00000 | 119.00 | 0.0004 | 2.000000 | NO          | 0.842336  | 
13    | 10       | 3.288899   | -3.386039 | 0.000000  | 119.00 | 0.0005 | 2.000000 | NO          | 0.848574  | 
14    | 11       | 3.288899   | -432.3664 | 119.00000 | 119.00 | 0.0003 | 2.000000 | NO          | 0.852155  | 
15    | 12       | 3.288899   | -3.674343 | 0.000000  | 119.00 | 0.0005 | 2.000000 | NO          | 0.858129  | 
16    | 13       | 3.288899   | -481.3843 | 119.00000 | 119.00 | 0.0004 | 2.000000 | NO          | 0.861623  | 
17    | 14       | 3.288899   | -3.969025 | 0.000000  | 119.00 | 0.0005 | 2.000000 | NO          | 0.866956  | 
18    | 15       | 3.288899   | -405.8402 | 119.00000 | 119.00 | 0.0003 | 2.000000 | NO          | 0.870398  | 
19    | 1        | 3.288899   | 3.017102  | 0.000000  | 119.00 | 0.0002 | 1.000000 | NO          | 0.875349  | 
20    | 2        | 3.288899   | -410.4820 | 119.00000 | 119.00 | 0.0003 | 1.000000 | NO          | 0.878654  | 
21    | 3        | 3.288899   | 3.122843  | 0.000000  | 119.00 | 0.0002 | 1.000000 | NO          | 0.883434  | 
22    | 4        | 3.288899   | -279.5496 | 119.00000 | 119.00 | 0.0002 | 1.000000 | NO          | 0.886793  | 
23    | 5        | 3.288899   | 2.035985  | 0.000000  | 119.00 | 0.0002 | 1.000000 | NO          | 0.891765  | 
24    | 6        | 3.288899   | -258.2266 | 119.00000 | 119.00 | 0.0002 | 1.000000 | NO          | 0.895221  | 
25    | 7        | 3.288899   | 0.897900  | 0.000000  | 119.00 | 0.0001 | 1.000000 | NO          | 0.900116  | 
26    | 8        | 3.288899   | -228.8910 | 119.00000 | 119.00 | 0.0002 | 1.000000 | NO          | 0.903533  | 
27    | 9        | 3.288899   | -0.064232 | 0.000000  | 119.00 | 0.0001 | 1.000000 | NO          | 0.907638  | 
28    | 10       | 3.288899   | -255.2359 | 119.00000 | 119.00 | 0.0002 | 1.000000 | NO          | 0.911046  | 
29    | 11       | 3.288899   | -0.530631 | 0.000000  | 119.00 | 0.0001 | 1.000000 | NO          | 0.915696  | 
30    | 12       | 3.288899   | -187.6069 | 119.00000 | 104.00 | 0.0002 | 1.000000 | NO          | 0.946609  | 
31    | 13       | 3.288899   | 1.193781  | 0.000000  | 104.00 | 0.0001 | 1.000000 | NO          | 0.950940  | 
32    | 14       | 3.288899   | -242.6051 | 119.00000 | 104.00 | 0.0002 | 1.000000 | NO          | 0.955659  | 
33    | 15       | 3.288899   | 1.612594  | 0.000000  | 104.00 | 0.0001 | 1.000000 | NO          | 0.961702  | 
34    | 1        | 3.288899   | -75.89740 | 119.00000 | 104.00 | 0.0001 | 0.500000 | NO          | 0.965745  | 
