Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 0.000000   | 0.000000  | 0.000000  | 47.000 | 0.0000 | 2.000000 | NO          | 0.233489  | 
2     | 1        | 0.000000   | -55.50105 | 59.000000 | 47.000 | 0.0097 | 2.000000 | NO          | 0.234791  | 
3     | 0        | 1.044877   | 1.044877  | 0.000000  | 47.000 | 0.0065 | 2.000000 | NO          | 0.236143  | 
4     | 1        | 1.044877   | -218.4315 | 59.000000 | 47.000 | 0.0744 | 2.000000 | NO          | 0.237471  | 
5     | 2        | 1.044877   | -3.268320 | 0.000000  | 47.000 | 0.0169 | 2.000000 | NO          | 0.238940  | 
6     | 3        | 1.044877   | -106.5244 | 59.000000 | 47.000 | 0.0161 | 2.000000 | NO          | 0.240163  | 
7     | 4        | 1.044877   | -0.567950 | 0.000000  | 47.000 | 0.0098 | 2.000000 | NO          | 0.241782  | 
8     | 5        | 1.044877   | -185.9646 | 59.000000 | 47.000 | 0.0316 | 2.000000 | NO          | 0.243192  | 
9     | 6        | 1.044877   | -1.157474 | 0.000000  | 47.000 | 0.0148 | 2.000000 | NO          | 0.245285  | 
10    | 7        | 1.044877   | -76.36681 | 59.000000 | 47.000 | 0.0091 | 2.000000 | NO          | 0.246572  | 
11    | 8        | 1.044877   | -2.057009 | 0.000000  | 47.000 | 0.0078 | 2.000000 | NO          | 0.248323  | 
12    | 9        | 1.044877   | -83.09620 | 59.000000 | 47.000 | 0.0109 | 2.000000 | NO          | 0.249742  | 
13    | 10       | 1.044877   | -0.616514 | 0.000000  | 47.000 | 0.0083 | 2.000000 | NO          | 0.251416  | 
14    | 11       | 1.044877   | -126.4315 | 59.000000 | 47.000 | 0.0247 | 2.000000 | NO          | 0.252844  | 
15    | 0        | 1.131735   | 1.131735  | 0.000000  | 47.000 | 0.0110 | 2.000000 | NO          | 0.255079  | 
16    | 1        | 1.131735   | -98.53007 | 59.000000 | 47.000 | 0.0116 | 2.000000 | NO          | 0.256734  | 
17    | 2        | 1.131735   | -0.171346 | 0.000000  | 47.000 | 0.0092 | 2.000000 | NO          | 0.258282  | 
18    | 3        | 1.131735   | -228.8946 | 59.000000 | 47.000 | 0.0496 | 2.000000 | NO          | 0.259667  | 
19    | 4        | 1.131735   | -2.446906 | 0.000000  | 47.000 | 0.0176 | 2.000000 | NO          | 0.261409  | 
20    | 5        | 1.131735   | -85.29246 | 59.000000 | 47.000 | 0.0120 | 2.000000 | NO          | 0.262726  | 
21    | 6        | 1.131735   | -0.559669 | 0.000000  | 47.000 | 0.0084 | 2.000000 | NO          | 0.263979  | 
22    | 7        | 1.131735   | -191.0343 | 59.000000 | 47.000 | 0.0353 | 2.000000 | NO          | 0.264837  | 
23    | 8        | 1.131735   | -1.673195 | 0.000000  | 47.000 | 0.0151 | 2.000000 | NO          | 0.265974  | 
24    | 9        | 1.131735   | -89.98710 | 59.000000 | 47.000 | 0.0165 | 2.000000 | NO          | 0.266884  | 
25    | 10       | 1.131735   | 0.678228  | 0.000000  | 47.000 | 0.0087 | 2.000000 | NO          | 0.268242  | 
26    | 11       | 1.131735   | -142.6035 | 59.000000 | 47.000 | 0.0235 | 2.000000 | NO          | 0.269058  | 
27    | 12       | 1.131735   | 0.328662  | 0.000000  | 47.000 | 0.0120 | 2.000000 | NO          | 0.269827  | 
28    | 13       | 1.131735   | -90.36560 | 59.000000 | 47.000 | 0.0112 | 2.000000 | NO          | 0.270434  | 
29    | 14       | 1.131735   | -0.483164 | 0.000000  | 47.000 | 0.0087 | 2.000000 | NO          | 0.271277  | 
30    | 15       | 1.131735   | -239.8128 | 59.000000 | 9.0000 | 0.0606 | 2.000000 | NO          | 0.272933  | 
31    | 1        | 1.131735   | -6.730682 | 59.000000 | 9.0000 | 0.0079 | 1.000000 | NO          | 0.273452  | 
32    | 0        | 3.359398   | 3.359398  | 0.000000  | 9.0000 | 0.0005 | 1.000000 | NO          | 0.273927  | 
33    | 1        | 3.359398   | -3.049619 | 59.000000 | 9.0000 | 0.0010 | 1.000000 | NO          | 0.274443  | 
34    | 2        | 3.359398   | 3.324041  | 0.000000  | 9.0000 | 0.0003 | 1.000000 | NO          | 0.274932  | 
35    | 3        | 3.359398   | -6.837247 | 59.000000 | 9.0000 | 0.0050 | 1.000000 | NO          | 0.275447  | 
36    | 0        | 3.566136   | 3.566136  | 0.000000  | 9.0000 | 0.0005 | 1.000000 | NO          | 0.275941  | 
37    | 1        | 3.566136   | -5.495145 | 59.000000 | 9.0000 | 0.0055 | 1.000000 | NO          | 0.276436  | 
38    | 0        | 3.672808   | 3.672808  | 0.000000  | 9.0000 | 0.0004 | 1.000000 | NO          | 0.276937  | 
39    | 1        | 3.672808   | -3.082448 | 59.000000 | 9.0000 | 0.0050 | 1.000000 | NO          | 0.277463  | 
40    | 0        | 3.711832   | 3.711832  | 0.000000  | 9.0000 | 0.0003 | 1.000000 | NO          | 0.277930  | 
41    | 1        | 3.711832   | -4.593824 | 59.000000 | 9.0000 | 0.0052 | 1.000000 | NO          | 0.278336  | 
