Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 212.000000 | 212.00000 | 212.00000 | 1592.0 | 0.0000 | 2.000000 | NO          | 0.649910  | 
2     | 0        | 255.843634 | 255.84363 | 441.00000 | 1592.0 | 0.4628 | 2.000000 | NO          | 0.693152  | 
3     | 0        | 323.349035 | 323.34903 | 614.00000 | 1592.0 | 0.3095 | 2.000000 | NO          | 0.728907  | 
4     | 0        | 368.058152 | 368.05815 | 679.00000 | 1592.0 | 0.3170 | 2.000000 | NO          | 0.764078  | 
5     | 0        | 397.875591 | 397.87559 | 928.00000 | 1569.0 | 0.6276 | 2.000000 | NO          | 0.798895  | 
6     | 0        | 405.532575 | 405.53257 | 760.00000 | 1569.0 | 0.4962 | 2.000000 | NO          | 0.824014  | 
7     | 0        | 464.444589 | 464.44458 | 922.00000 | 1569.0 | 0.5734 | 2.000000 | NO          | 0.848841  | 
8     | 0        | 467.816173 | 467.81617 | 940.00000 | 1569.0 | 0.7144 | 2.000000 | NO          | 0.872325  | 
9     | 0        | 475.387971 | 475.38797 | 932.00000 | 1569.0 | 0.6200 | 2.000000 | NO          | 0.895802  | 
10    | 0        | 502.443469 | 502.44346 | 926.00000 | 1569.0 | 0.3877 | 2.000000 | NO          | 0.919237  | 
11    | 1        | 502.443469 | 460.35422 | 852.00000 | 1569.0 | 0.7294 | 2.000000 | NO          | 0.943241  | 
12    | 2        | 502.443469 | 492.98488 | 1012.0000 | 1569.0 | 0.3665 | 2.000000 | NO          | 0.966751  | 
13    | 3        | 502.443469 | 481.92795 | 1058.0000 | 1569.0 | 0.4841 | 2.000000 | NO          | 0.990340  | 
14    | 4        | 502.443469 | 409.60768 | 1168.0000 | 1569.0 | 0.7574 | 2.000000 | NO          | 1.013947  | 
15    | 5        | 502.443469 | 499.04832 | 913.00000 | 1569.0 | 0.3604 | 2.000000 | NO          | 1.037662  | 
16    | 6        | 502.443469 | 415.97456 | 1068.0000 | 1569.0 | 0.4418 | 2.000000 | NO          | 1.061187  | 
17    | 7        | 502.443469 | 441.65615 | 1146.0000 | 1569.0 | 0.6278 | 2.000000 | NO          | 1.084841  | 
18    | 8        | 502.443469 | 385.07984 | 945.00000 | 1569.0 | 0.6840 | 2.000000 | NO          | 1.108338  | 
19    | 9        | 502.443469 | 418.35580 | 1121.0000 | 1569.0 | 0.5103 | 2.000000 | NO          | 1.131872  | 
