Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 259.000000 | 259.00000 | 259.00000 | 2281.0 | 0.0000 | 2.000000 | NO          | 0.794668  | 
2     | 0        | 286.070839 | 286.07083 | 554.00000 | 2281.0 | 0.5073 | 2.000000 | NO          | 0.854466  | 
3     | 0        | 369.074849 | 369.07484 | 770.00000 | 2264.0 | 0.3138 | 2.000000 | NO          | 0.908410  | 
4     | 0        | 441.121306 | 441.12130 | 900.00000 | 2237.0 | 0.2628 | 2.000000 | NO          | 0.971170  | 
5     | 0        | 448.285996 | 448.28599 | 1124.0000 | 2237.0 | 0.6550 | 2.000000 | NO          | 1.025186  | 
6     | 0        | 475.536542 | 475.53654 | 1176.0000 | 2237.0 | 0.5972 | 2.000000 | NO          | 1.050287  | 
7     | 0        | 532.095271 | 532.09527 | 1263.0000 | 2237.0 | 0.4263 | 2.000000 | NO          | 1.074932  | 
8     | 0        | 589.716343 | 589.71634 | 1184.0000 | 2237.0 | 0.5743 | 2.000000 | NO          | 1.099831  | 
9     | 1        | 589.716343 | 524.25309 | 1121.0000 | 2237.0 | 0.6988 | 2.000000 | NO          | 1.125026  | 
10    | 2        | 589.716343 | 530.65058 | 1337.0000 | 2237.0 | 0.5988 | 2.000000 | NO          | 1.149831  | 
11    | 3        | 589.716343 | 584.57085 | 1496.0000 | 2237.0 | 0.5349 | 2.000000 | NO          | 1.174562  | 
12    | 4        | 589.716343 | 457.58536 | 1272.0000 | 2237.0 | 0.9724 | 2.000000 | NO          | 1.206374  | 
13    | 5        | 589.716343 | 530.22403 | 1550.0000 | 2237.0 | 0.5781 | 2.000000 | NO          | 1.231073  | 
14    | 6        | 589.716343 | 304.75416 | 1509.0000 | 2237.0 | 0.8216 | 2.000000 | NO          | 1.255596  | 
15    | 7        | 589.716343 | 520.03149 | 1668.0000 | 2237.0 | 0.4317 | 2.000000 | NO          | 1.280632  | 
16    | 8        | 589.716343 | 393.64415 | 1195.0000 | 2237.0 | 0.9253 | 2.000000 | NO          | 1.305403  | 
17    | 9        | 589.716343 | 487.22918 | 1548.0000 | 2237.0 | 0.3989 | 2.000000 | NO          | 1.330508  | 
18    | 10       | 589.716343 | 286.19262 | 1476.0000 | 2237.0 | 0.9081 | 2.000000 | NO          | 1.356519  | 
19    | 11       | 589.716343 | 250.29461 | 1433.0000 | 2237.0 | 0.6761 | 2.000000 | NO          | 1.383605  | 
20    | 12       | 589.716343 | 379.64577 | 1354.0000 | 2237.0 | 0.5525 | 2.000000 | NO          | 1.409548  | 
21    | 13       | 589.716343 | 294.62038 | 1458.0000 | 2237.0 | 0.6905 | 2.000000 | NO          | 1.434964  | 
22    | 14       | 589.716343 | 408.81655 | 1616.0000 | 2237.0 | 0.6817 | 2.000000 | NO          | 1.461618  | 
23    | 15       | 589.716343 | 305.41635 | 1468.0000 | 2237.0 | 0.6681 | 2.000000 | NO          | 1.486516  | 
24    | 16       | 589.716343 | 135.55030 | 1593.0000 | 2237.0 | 0.8733 | 2.000000 | NO          | 1.511292  | 
25    | 17       | 589.716343 | 130.73780 | 1789.0000 | 2237.0 | 0.5879 | 2.000000 | NO          | 1.536188  | 
26    | 18       | 589.716343 | 193.98498 | 1322.0000 | 2237.0 | 0.6499 | 2.000000 | NO          | 1.561034  | 
27    | 19       | 589.716343 | 181.38717 | 1506.0000 | 2237.0 | 0.7516 | 2.000000 | NO          | 1.589421  | 
28    | 20       | 589.716343 | 120.82053 | 1476.0000 | 2237.0 | 0.6864 | 2.000000 | NO          | 1.620215  | 
29    | 1        | 589.716343 | 167.89651 | 1826.0000 | 2237.0 | 0.5132 | 1.000000 | NO          | 1.652143  | 
30    | 2        | 589.716343 | 250.64377 | 1518.0000 | 2210.0 | 0.3951 | 1.000000 | NO          | 1.707358  | 
31    | 3        | 589.716343 | 425.66109 | 1730.0000 | 2210.0 | 0.3433 | 1.000000 | NO          | 1.749132  | 
32    | 4        | 589.716343 | 580.28198 | 1983.0000 | 2210.0 | 0.4774 | 1.000000 | NO          | 1.786418  | 
33    | 0        | 608.003741 | 608.00374 | 1561.0000 | 2210.0 | 0.3996 | 1.000000 | NO          | 1.816166  | 
34    | 0        | 649.387932 | 649.38793 | 1710.0000 | 2210.0 | 0.2524 | 1.000000 | NO          | 1.841505  | 
35    | 0        | 706.048589 | 706.04858 | 1417.0000 | 2210.0 | 0.2000 | 1.000000 | NO          | 1.866472  | 
36    | 0        | 762.636016 | 762.63601 | 1367.0000 | 2210.0 | 0.1942 | 1.000000 | NO          | 1.891591  | 
37    | 0        | 800.291009 | 800.29100 | 2009.0000 | 2210.0 | 0.4499 | 1.000000 | NO          | 1.916792  | 
38    | 0        | 879.160630 | 879.16063 | 1892.0000 | 2210.0 | 0.3586 | 1.000000 | NO          | 1.942488  | 
39    | 1        | 879.160630 | 876.66650 | 1822.0000 | 2210.0 | 0.3379 | 1.000000 | NO          | 1.967637  | 
40    | 2        | 879.160630 | 872.78329 | 1418.0000 | 2210.0 | 0.2722 | 1.000000 | NO          | 1.992744  | 
41    | 0        | 918.697118 | 918.69711 | 1475.0000 | 2210.0 | 0.2419 | 1.000000 | NO          | 2.017966  | 
42    | 0        | 1024.52334 | 1024.5233 | 1500.0000 | 2210.0 | 0.2315 | 1.000000 | NO          | 2.043181  | 
43    | 0        | 1041.73459 | 1041.7345 | 1586.0000 | 2210.0 | 0.3544 | 1.000000 | NO          | 2.068417  | 
44    | 0        | 1055.50505 | 1055.5050 | 1901.0000 | 2210.0 | 0.1980 | 1.000000 | NO          | 2.093568  | 
45    | 0        | 1082.23641 | 1082.2364 | 1924.0000 | 2210.0 | 0.2127 | 1.000000 | NO          | 2.120281  | 
46    | 1        | 1082.23641 | 1075.4199 | 1697.0000 | 2210.0 | 0.2145 | 1.000000 | NO          | 2.145476  | 
47    | 0        | 1107.19963 | 1107.1996 | 1776.0000 | 2210.0 | 0.2071 | 1.000000 | NO          | 2.172287  | 
48    | 1        | 1107.19963 | 1102.1164 | 1534.0000 | 2210.0 | 0.2582 | 1.000000 | NO          | 2.201146  | 
49    | 0        | 1115.47753 | 1115.4775 | 1608.0000 | 2210.0 | 0.1426 | 1.000000 | NO          | 2.229673  | 
50    | 0        | 1126.84797 | 1126.8479 | 1743.0000 | 2210.0 | 0.2082 | 1.000000 | NO          | 2.255029  | 
