Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 450.000000 | 450.00000 | 450.00000 | 6538.0 | 0.0000 | 2.000000 | NO          | 2.992261  | 
2     | 1        | 450.000000 | 421.67462 | 940.00000 | 6538.0 | 0.5602 | 2.000000 | NO          | 3.107755  | 
3     | 0        | 532.884533 | 532.88453 | 1314.0000 | 6538.0 | 0.2453 | 2.000000 | NO          | 3.220372  | 
4     | 0        | 684.840964 | 684.84096 | 1822.0000 | 6421.0 | 0.3427 | 2.000000 | NO          | 3.330239  | 
5     | 0        | 706.970213 | 706.97021 | 2168.0000 | 6421.0 | 0.5313 | 2.000000 | NO          | 3.444997  | 
6     | 0        | 805.802625 | 805.80262 | 2353.0000 | 6421.0 | 0.3109 | 2.000000 | NO          | 3.500190  | 
7     | 0        | 823.621378 | 823.62137 | 2476.0000 | 6421.0 | 0.2826 | 2.000000 | NO          | 3.559973  | 
8     | 1        | 823.621378 | 818.11799 | 2823.0000 | 6421.0 | 0.7436 | 2.000000 | NO          | 3.615468  | 
9     | 2        | 823.621378 | 785.34074 | 2961.0000 | 6421.0 | 0.6905 | 2.000000 | NO          | 3.670926  | 
10    | 0        | 888.391375 | 888.39137 | 3174.0000 | 6421.0 | 0.5040 | 2.000000 | NO          | 3.726557  | 
11    | 0        | 915.055184 | 915.05518 | 3641.0000 | 6421.0 | 0.4752 | 2.000000 | NO          | 3.782293  | 
12    | 0        | 915.172642 | 915.17264 | 3704.0000 | 6421.0 | 0.7749 | 2.000000 | NO          | 3.838362  | 
13    | 1        | 915.172642 | 814.81331 | 3409.0000 | 6421.0 | 0.8708 | 2.000000 | NO          | 3.894460  | 
14    | 2        | 915.172642 | 901.47953 | 4113.0000 | 6421.0 | 0.7182 | 2.000000 | NO          | 3.950713  | 
15    | 3        | 915.172642 | 808.09002 | 3827.0000 | 6421.0 | 0.9018 | 2.000000 | NO          | 4.007004  | 
16    | 4        | 915.172642 | 527.91592 | 3626.0000 | 6421.0 | 0.9987 | 2.000000 | NO          | 4.063220  | 
17    | 5        | 915.172642 | 664.88977 | 3891.0000 | 6421.0 | 0.4738 | 2.000000 | NO          | 4.121442  | 
18    | 6        | 915.172642 | 634.61050 | 3161.0000 | 6421.0 | 0.7589 | 2.000000 | NO          | 4.178216  | 
19    | 7        | 915.172642 | 718.63506 | 3577.0000 | 6421.0 | 0.7697 | 2.000000 | NO          | 4.234887  | 
20    | 8        | 915.172642 | 441.22059 | 3952.0000 | 6421.0 | 0.9908 | 2.000000 | NO          | 4.291594  | 
21    | 9        | 915.172642 | 700.18071 | 4208.0000 | 6421.0 | 0.8002 | 2.000000 | NO          | 4.348866  | 
22    | 10       | 915.172642 | 426.55944 | 4065.0000 | 6421.0 | 1.0841 | 2.000000 | NO          | 4.405649  | 
23    | 1        | 915.172642 | 636.89719 | 4685.0000 | 6421.0 | 0.5140 | 1.000000 | NO          | 4.462411  | 
24    | 2        | 915.172642 | 826.43535 | 4349.0000 | 6421.0 | 0.5252 | 1.000000 | NO          | 4.519425  | 
25    | 0        | 957.685925 | 957.68592 | 3113.0000 | 6421.0 | 0.6230 | 1.000000 | NO          | 4.576523  | 
