Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 300.000000 | 300.00000 | 300.00000 | 8401.0 | 0.0000 | 2.000000 | NO          | 0.892743  | 
2     | 1        | 300.000000 | -361.0547 | 645.00000 | 2808.0 | 1.6766 | 2.000000 | NO          | 0.943336  | 
3     | 2        | 300.000000 | -299.3577 | 956.00000 | 2778.0 | 0.4028 | 2.000000 | NO          | 0.996091  | 
4     | 3        | 300.000000 | -235.8744 | 1153.0000 | 2760.0 | 0.2973 | 2.000000 | NO          | 1.048645  | 
5     | 4        | 300.000000 | -266.6659 | 1348.0000 | 2756.0 | 0.8034 | 2.000000 | NO          | 1.100691  | 
6     | 5        | 300.000000 | -310.1690 | 1550.0000 | 2756.0 | 0.7758 | 2.000000 | NO          | 1.131744  | 
7     | 6        | 300.000000 | -270.1813 | 1746.0000 | 2756.0 | 0.5435 | 2.000000 | NO          | 1.157925  | 
8     | 7        | 300.000000 | -220.7800 | 1931.0000 | 2756.0 | 0.4192 | 2.000000 | NO          | 1.183524  | 
9     | 8        | 300.000000 | -237.6050 | 2046.0000 | 2756.0 | 0.9364 | 2.000000 | NO          | 1.209484  | 
10    | 9        | 300.000000 | -270.0281 | 1923.0000 | 2756.0 | 1.1138 | 2.000000 | NO          | 1.235450  | 
11    | 10       | 300.000000 | -217.2149 | 1847.0000 | 2756.0 | 0.8740 | 2.000000 | NO          | 1.261290  | 
12    | 11       | 300.000000 | -246.1699 | 1969.0000 | 2756.0 | 0.8983 | 2.000000 | NO          | 1.287114  | 
13    | 12       | 300.000000 | -396.8723 | 1834.0000 | 2756.0 | 1.1338 | 2.000000 | NO          | 1.316162  | 
14    | 13       | 300.000000 | -293.8963 | 1991.0000 | 2756.0 | 1.0235 | 2.000000 | NO          | 1.345825  | 
15    | 14       | 300.000000 | -280.0166 | 2117.0000 | 2756.0 | 0.8361 | 2.000000 | NO          | 1.371833  | 
16    | 15       | 300.000000 | -425.9870 | 2149.0000 | 2756.0 | 1.6459 | 2.000000 | NO          | 1.397725  | 
17    | 1        | 300.000000 | -277.9238 | 2433.0000 | 2756.0 | 0.4749 | 1.000000 | NO          | 1.423595  | 
18    | 2        | 300.000000 | -259.6379 | 2075.0000 | 2756.0 | 0.6272 | 1.000000 | NO          | 1.449442  | 
